Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
794262.7,316.0281,246.6504,57.67212,50.96264
794279.6,316.3022,246.7199,57.69456,50.97053
794296.3,316.509,246.7212,57.71147,50.97068
794313.3,316.6663,246.7882,57.72432,50.97829
794331.1,316.7815,246.8281,57.73373,50.98282
794347.6,316.8423,246.8717,57.73869,50.98778
794364.6,316.8351,246.9634,57.73811,50.99818
794380.4,316.8347,247.157,57.73808,51.02013
794397.5,316.7225,247.2876,57.72892,51.03493
794413.5,316.7573,247.0802,57.73175,51.01143
794431,316.9836,246.4258,57.75023,50.9371
794447.8,317.1577,245.9376,57.76442,50.8815
794465,317.316,245.6071,57.77732,50.84378
794480.3,317.3422,245.5515,57.77945,50.83742
794497.1,317.4182,245.396,57.78565,50.81965
794513.3,317.4571,245.2726,57.78881,50.80554
794531.7,317.3703,245.3621,57.78174,50.81577
794549.6,317.1126,245.6681,57.76075,50.85074
794566.7,316.8242,245.9436,57.73722,50.88218
794586.3,316.889,245.8898,57.74251,50.87604
794605.1,317.0261,245.7163,57.7537,50.85624
794616,317.3538,245.3426,57.7804,50.81354
794633,317.5199,245.2885,57.79392,50.80736
794653.1,317.5271,245.5824,57.79451,50.84095
794671.1,317.4751,246.0963,57.79027,50.89959
794684.8,317.5804,246.6212,57.79884,50.95932
794701.8,317.8844,246.6262,57.82356,50.95989
794719.3,318.2901,246.4076,57.85649,50.93503
794735,318.6971,246.3036,57.88946,50.9232
794753.6,318.6762,247.0376,57.88778,51.0066
794771.4,318.5513,247.8799,57.87766,51.10194
794786.9,318.1144,249.2394,57.84224,51.255
794802.5,317.7366,250.0326,57.81155,51.34383
794819.7,317.371,250.1912,57.7818,51.36156
794834.4,316.919,249.6767,57.74496,51.30402
794850.8,316.4359,249.2595,57.70549,51.25725
794867.7,315.9802,249.0721,57.66819,51.23621
794884.2,315.5457,249.0631,57.63255,51.23521
794902.4,315.2207,249.096,57.60585,51.23891
794918.1,314.818,248.7151,57.57271,51.1961
794934.1,314.2645,248.0934,57.52705,51.12604
794951.1,313.3828,247.5645,57.4541,51.06628
794967.4,312.3641,247.7689,57.36944,51.0894
794986.1,311.3465,248.47,57.28448,51.1685
795001.9,310.3473,250.0673,57.20067,51.34772
795017.8,309.339,251.3761,57.11572,51.49352
795034.9,308.4137,252.2353,57.03741,51.58873
795050.2,307.3139,252.2864,56.94391,51.59438
795067.7,306.2487,252.2103,56.85289,51.58597
795087.3,305.1752,252.3229,56.76072,51.59842
795098.8,303.9504,253.0092,56.655,51.67416
795114.6,302.7666,253.6739,56.55225,51.74726
795131.9,301.8032,254.0988,56.46822,51.79388
795148.6,301.1135,254.5406,56.40784,51.84224
795165.3,300.5983,254.9195,56.3626,51.88364
795182,300.6635,254.5576,56.36833,51.8441
795204.4,300.8789,253.6681,56.38725,51.74663
795219.3,301.2533,251.9609,56.42009,51.55836
795235.9,302.0193,250.1726,56.48711,51.35947
795250.8,302.8158,248.6493,56.55653,51.18869
795267.7,303.9151,248.2301,56.65194,51.14147
795284.3,305.0309,248.7938,56.74829,51.20494
795303,305.9742,250.2468,56.82936,51.36777
795317.2,306.8378,251.8447,56.90328,51.5455
795333.8,307.6771,252.2245,56.97484,51.58754
795348.8,308.4618,252.1118,57.04149,51.57508
795366.3,308.802,252.3171,57.07032,51.59778
795383.1,309.2119,252.8911,57.10498,51.66114
795401.4,309.6444,253.2817,57.14149,51.70415
795418.8,309.9533,253.4497,57.16753,51.72263
795435.3,310.2105,253.5699,57.18917,51.73584
795452.6,310.5244,253.7862,57.21555,51.7596
795471,310.8784,253.9184,57.24527,51.7741
795483.3,311.1881,253.7784,57.27122,51.75874
795499.7,311.6256,253.7292,57.30782,51.75334
795516.5,312.1721,253.7804,57.35344,51.75896
795533.8,312.7124,253.7975,57.39843,51.76084
795550.6,313.0863,253.619,57.4295,51.74124
795566.9,313.4015,253.3163,57.45565,51.70797
795584.5,313.6008,252.8334,57.47216,51.65478
795599.8,313.8074,252.3581,57.48927,51.60231
795621.3,314.0602,251.9474,57.51018,51.55687
795638.8,314.176,251.5447,57.51974,51.51223
795649.9,314.2437,251.3408,57.52533,51.48959
795667.8,314.3235,251.3121,57.53193,51.48641
795684.1,314.3946,251.2216,57.53779,51.47636
795700.6,314.3997,250.9026,57.53822,51.44088
795722.4,314.3795,250.6659,57.53655,51.41451
795734.9,314.2976,250.4555,57.52979,51.39106
795751.5,314.2488,250.1497,57.52576,51.35692
795771.1,314.246,250.0521,57.52553,51.34602
795785.4,314.1602,249.8629,57.51844,51.32486
795804.6,314.015,249.7415,57.50644,51.31128
795820.8,313.8625,249.4626,57.49382,51.28003
795837.6,313.6906,249.233,57.4796,51.25428
795854.1,313.5726,249.3393,57.46983,51.2662
795871.4,313.2396,249.8717,57.44222,51.32585
795888.3,312.883,250.3253,57.41261,51.37653
795905.9,312.4388,250.7806,57.37566,51.42729
795922.4,311.8604,251.1579,57.32743,51.46927
795934.6,311.4571,251.4862,57.29373,51.50574
795955.3,311.3075,251.9064,57.28122,51.55233
795972.3,311.303,252.6165,57.28085,51.63085
795989.3,311.3393,253.7301,57.28388,51.75343
796004.9,311.4667,254.4713,57.29454,51.83466
796021.4,311.6808,254.6935,57.31243,51.85895
796035.3,311.9694,254.8243,57.33653,51.87325
796051.3,312.3956,254.6801,57.37206,51.85749
796073.3,312.7246,254.2937,57.39944,51.81522
796089.9,312.9967,253.9676,57.42206,51.7795
796105.9,313.0759,253.9455,57.42864,51.77707
796121.6,313.1906,253.9402,57.43815,51.77649
796139.1,313.2703,254.0294,57.44477,51.78627
796155.2,313.3237,254.0579,57.4492,51.7894
796171.1,313.3386,253.9582,57.45043,51.77847
796187.1,313.3053,253.7254,57.44767,51.75292
796207.1,313.3041,253.5026,57.44757,51.72844
796222.8,313.3045,253.2261,57.4476,51.69804
796238.8,313.2012,253.1487,57.43904,51.68952
796254.9,313.1827,253.0842,57.4375,51.68242
796272.1,313.1383,253.0379,57.43382,51.67732
796289.6,313.2014,252.9147,57.43905,51.66374
796311,313.316,252.6187,57.44856,51.63109
796324.8,313.4224,252.384,57.45738,51.60517
796343.4,313.6218,252.182,57.4739,51.58284
796357.7,313.9059,252.0489,57.49742,51.56812
796372.4,314.195,251.9493,57.52132,51.55709
796391.2,314.425,251.8564,57.54031,51.54679
796406.8,314.6462,251.756,57.55855,51.53566
796423.2,314.8692,251.5629,57.57692,51.51426
796441.4,314.9484,251.1977,57.58345,51.4737
796454.7,315.0732,250.7308,57.59371,51.42175
796472.3,315.3148,250.4141,57.61359,51.38644
796488.4,315.5648,250.1602,57.63412,51.3581
796504.6,315.9138,249.8224,57.66275,51.32033
796522.9,316.3347,249.5857,57.69722,51.29383
796537.8,316.7388,249.5078,57.73024,51.2851
796554.8,317.1234,249.3667,57.76163,51.26928
796571.3,317.5741,249.3244,57.79833,51.26454
796589.4,317.8863,249.3149,57.82372,51.26348
796604.3,318.2551,249.3052,57.85365,51.26239
796621.2,318.6472,249.3034,57.88543,51.26218
796638.8,319.0608,249.2992,57.91888,51.26171
796654.6,319.595,249.2083,57.96199,51.25151
796671.6,320.2052,249.0581,58.01112,51.23465
796687.5,320.7616,248.9816,58.0558,51.22606
796704.6,321.3857,248.8196,58.10578,51.20784
796723,321.9319,248.5762,58.1494,51.18046
796738.7,322.457,248.3721,58.19125,51.15747
796756.3,323.11,248.2264,58.24314,51.14104
796771.7,323.75,248.0189,58.29386,51.11764
796789.8,324.3414,247.6163,58.3406,51.07215
796808.6,324.8989,247.266,58.38454,51.03249
796826.1,325.4957,246.9674,58.43146,50.99863
796838.9,326.0867,246.5095,58.4778,50.94662
796855.6,326.6815,245.9625,58.52432,50.88433
796872.8,327.2409,245.356,58.56795,50.81507
796890.4,327.7369,244.6676,58.60656,50.73621
796906.8,328.2069,243.9989,58.64305,50.65936
796924.8,328.6336,243.1335,58.67612,50.55951
796940.2,328.9845,242.3939,58.70327,50.47385
796956.4,329.1979,241.7125,58.71976,50.39465
796972.5,329.2183,240.9711,58.72133,50.30817
796989.6,329.1029,240.3483,58.71242,50.23529
797007.4,328.695,239.8904,58.68087,50.18156
797023.8,328.1832,239.4186,58.64122,50.12607
797048.9,327.5846,239.2413,58.59471,50.10518
797058.6,326.8113,239.0374,58.53445,50.08114
797072.1,326.0621,238.8248,58.47588,50.05605
797088.9,325.2291,238.7036,58.41051,50.04174
797109.6,324.2273,238.6743,58.33159,50.03828
797126.7,323.372,238.6673,58.26392,50.03744
797143.8,322.6789,238.4908,58.2089,50.01658
797156.1,322.1775,238.2471,58.16899,49.98774
797173.3,321.901,237.8362,58.14694,49.93903
797189.9,321.7043,237.3257,58.13124,49.87836
797205.6,321.408,237.0934,58.10756,49.85071
797222.8,321.1627,237.2868,58.08794,49.87373
797239.9,320.8846,237.7074,58.06566,49.92373
797259.3,320.6236,237.9324,58.04473,49.95044
797273.3,320.3416,237.5023,58.02209,49.89936
797292.1,320.1386,237.1924,58.00577,49.86251
797306.4,319.6735,237.6678,57.96832,49.91903
797328.6,319.1608,238.6079,57.92696,50.03042
797339.4,318.6476,239.6316,57.88545,50.15113
797356.2,318.2212,240.3494,57.8509,50.23542
797373.7,317.8539,240.547,57.82108,50.25856
797394.4,317.6361,240.4835,57.80338,50.25113
797408.3,317.7151,240.1641,57.8098,50.21369
797424.9,317.8044,240.0539,57.81706,50.20076
797441.4,317.9608,239.9447,57.82977,50.18794
797456.4,318.025,239.9445,57.83498,50.18791
797473.6,318.1212,240.1603,57.84279,50.21324
797491.1,318.2639,240.5896,57.85437,50.26355
797508.9,318.2751,240.8486,57.85527,50.29386
797523.8,318.2493,241.2374,57.85318,50.33927
797540.8,318.1031,241.8723,57.84132,50.41324
797557.1,317.9495,242.2194,57.82885,50.45359
797573.6,317.657,242.2868,57.80508,50.46141
797591.1,317.1555,242.2782,57.76425,50.46042
797608.4,316.6358,242.7559,57.72184,50.51582
797627.9,316.2331,243.1028,57.6889,50.55597
797646.3,315.7664,243.1675,57.65067,50.56344
797661.2,315.2974,243.0675,57.61216,50.55188
797677.2,315.1001,242.9799,57.59593,50.54175
797692.9,315.032,242.887,57.59032,50.531
797710.7,315.1681,242.8591,57.60152,50.52776
797729.8,315.3241,243.098,57.61435,50.5554
797745.8,315.4482,243.4659,57.62455,50.59791
797761.5,315.4169,243.8936,57.62198,50.64723
797778.1,315.1689,244.5412,57.60159,50.72171
797795.9,315.0922,244.6479,57.59528,50.73395
797812.2,314.9835,244.5534,57.58633,50.7231
797828.2,314.8908,244.5367,57.5787,50.7212
797843.9,314.9265,244.6612,57.58165,50.73548
797863,314.9617,244.7003,57.58454,50.73997
797878.8,315.053,244.3922,57.59205,50.70459
797894.2,315.2166,244.1003,57.60551,50.67103
797912.6,315.3237,244.1346,57.61432,50.67498
797928.5,315.3029,244.7175,57.61261,50.74194
797944.8,315.2729,245.2859,57.61015,50.80706
797962.3,315.2337,245.6461,57.60692,50.84822
797976.7,315.0555,245.6937,57.59226,50.85367
797993.9,314.8984,245.6593,57.57933,50.84973
798012.9,314.7315,245.6932,57.56558,50.8536
798031.1,314.5755,245.8434,57.55272,50.87075
798046.8,314.2285,245.8396,57.52408,50.87031
798061.9,313.8245,245.4153,57.49068,50.82186
798078.8,313.6175,245.0194,57.47355,50.77655
798095,313.7114,245.004,57.48132,50.77478
798112.1,313.562,244.9653,57.46895,50.77036
798127.5,313.4506,245.2642,57.45972,50.80457
798148.4,313.5779,245.9348,57.47027,50.88117
798161.2,313.7375,245.9643,57.48348,50.88454
798178.6,313.7823,245.9675,57.48719,50.8849
798193.5,313.7815,245.9851,57.48713,50.88691
798210.3,313.7987,245.8264,57.48855,50.86881
798227.2,313.8693,245.7469,57.49439,50.85974
798248.7,313.8848,245.7158,57.49567,50.85619
798261.1,313.9143,245.5312,57.49812,50.8351
798276.3,313.9305,245.4267,57.49945,50.82315
798293,313.9263,245.3111,57.4991,50.80994
798312.6,313.8974,245.307,57.49672,50.80947
798326.9,313.9296,245.3214,57.49938,50.81112
798344.8,313.9393,245.4351,57.50018,50.82412
798359.5,313.9335,245.5973,57.4997,50.84266
798382.9,313.9836,245.6229,57.50385,50.84558
798397.9,313.9925,245.6497,57.50458,50.84864
798411.1,314.1081,245.617,57.51413,50.84491
798426.4,314.2438,245.6422,57.52535,50.84778
798443.3,314.3351,245.6532,57.53289,50.84904
798458.9,314.4197,245.609,57.53987,50.84399
798475.9,314.4182,245.5767,57.53975,50.8403
798492.9,314.379,245.5475,57.53651,50.83697
798512.8,314.3181,245.595,57.53149,50.8424
798531.2,314.1363,245.5775,57.51647,50.84039
798550,313.9962,245.5171,57.50489,50.83349
798562,313.8759,245.6155,57.49494,50.84473
798578.7,313.6979,245.8532,57.48021,50.87187
798594.8,313.5564,245.8589,57.46849,50.87252
798608.7,313.3629,245.8761,57.45245,50.87448
798626.5,313.2532,245.8805,57.44335,50.87498
798643.3,313.24,245.8842,57.44225,50.8754
798659.6,313.1914,245.8861,57.43822,50.87562
798675.9,313.1363,245.8202,57.43365,50.8681
798693.5,313.0898,245.8019,57.42979,50.86602
798710.4,313.0034,245.7872,57.42261,50.86433
798727.7,312.9525,245.7195,57.41839,50.8566
798744.3,312.8739,245.711,57.41185,50.85564
798759.6,313.1159,245.6438,57.43196,50.84796
798776.9,313.1592,245.6269,57.43555,50.84604
798793.4,313.2778,245.6586,57.44539,50.84965
798811.5,313.399,245.684,57.45544,50.85255
798831.2,313.4648,245.7649,57.46089,50.86179
798847.1,313.6411,245.8807,57.4755,50.875
798860.4,313.8598,246.0441,57.49361,50.89364
798881.7,314.0137,246.0717,57.50633,50.89679
798898.2,314.0998,246.1242,57.51345,50.90276
798908.8,314.1239,246.0976,57.51544,50.89973
798927.3,314.2079,246.1039,57.52238,50.90045
798944.9,314.2386,245.9866,57.52492,50.88708
798960.7,314.1645,246.0026,57.5188,50.8889
798977.9,314.0841,246.0415,57.51215,50.89334
798994.4,313.9128,245.9289,57.49799,50.8805
799011.3,313.7999,246.0814,57.48865,50.89789
799031.2,313.8088,246.3803,57.48938,50.93192
799044.5,313.8566,246.3948,57.49334,50.93357
799060.9,314.1382,245.843,57.51662,50.8707
799077.8,314.005,245.6248,57.50562,50.84579
799095.1,314.0117,245.7524,57.50617,50.86037
799111.6,314.0879,246.2741,57.51247,50.91984
799128.9,314.2469,246.5619,57.5256,50.95258
799149.8,314.2917,246.7892,57.5293,50.97841
799165.1,314.3293,246.934,57.53241,50.99485
799183,314.4005,246.4586,57.53828,50.94083
799198.5,314.5221,246.3699,57.54831,50.93074
799211.4,314.495,246.9715,57.54608,50.9991
799228.4,314.3271,247.9724,57.53223,51.11239
799244.6,314.2777,248.2537,57.52815,51.14413
799261.8,314.3039,248.2218,57.53031,51.14053
799278.8,314.3534,247.8657,57.5344,51.10034
799294.6,314.3828,248.0552,57.53682,51.12174
799312.4,314.3829,248.4184,57.53683,51.16269
799328.3,314.4064,248.9313,57.53877,51.2204
799350,314.3479,249.1267,57.53394,51.24236
799362.6,314.2235,249.234,57.52367,51.25439
799381.2,313.8406,249.0429,57.49202,51.23294
799395.9,313.5865,248.4133,57.47098,51.16212
799411.8,313.3589,247.8912,57.45212,51.10322
799431.6,313.2478,247.7462,57.4429,51.08683
799449.8,313.2964,247.7455,57.44694,51.08676
