Time (ms), X, Y, Event
81955.23,318.2608,250.1579,0
82001.05,318.3784,249.8974,0
82016.42,318.3485,249.9095,0
82030.38,318.3759,250.0606,0
82040.4,318.4427,250.1416,0
82051.39,318.5311,250.2789,0
82061.38,318.642,250.3831,0
82076.91,318.6592,250.4351,0
82093.3,318.6466,250.3225,0
82108.29,318.5997,250.1397,0
82128.08,318.6069,250.0272,0
82141.04,318.6044,250.1159,0
82158.72,318.5933,250.2056,0
82175.77,318.5248,250.1442,0
82192.13,318.4414,250.0357,0
82209.22,318.3973,249.9697,0
82227.38,318.4354,249.8394,0
82243.48,318.4566,249.9304,0
82261.21,318.4652,249.9382,0
82276.03,318.4825,249.9727,0
82294.42,318.5371,250.0174,0
82312.91,318.6127,250.0046,0
82327.91,318.6641,250.1214,0
82344.07,318.7495,250.2078,0
82360.02,318.8705,250.265,0
82378.23,318.9662,250.2243,0
82393.53,318.9892,250.1651,0
82410.73,318.8787,250.1654,0
82429.02,318.8392,250.1589,0
82444.45,318.8078,250.2808,0
82464.34,318.798,250.3857,0
82477.54,318.7323,250.4065,0
82493.85,318.6366,250.3163,0
82510.75,318.5457,250.2781,0
82529.53,318.4939,250.4033,0
82545.33,318.6153,250.6482,0
82561.54,318.7655,250.8428,0
82580.32,318.8645,250.9654,0
82596.77,318.8802,251.0965,0
82612.25,318.9635,251.3483,0
82628.55,319.0633,251.5736,0
82646.09,319.2861,251.6766,0
82661.61,319.4416,251.6603,0
82678.5,319.5218,251.7635,0
82693.81,319.5811,251.944,0
82711.8,319.67,252.0942,0
82727.68,319.7277,252.0591,0
82745.18,319.6755,251.9087,0
82761.05,319.5533,251.889,0
82778.19,319.4156,252.0093,0
82794.7,319.368,252.2277,0
82811.6,319.4044,252.3087,0
82831.8,319.4473,252.3227,0
82845.41,319.3967,252.2549,0
82861.3,319.3121,252.3055,0
82879.16,319.2509,252.3564,0
82896.26,319.2376,252.5794,0
82912.56,319.4017,252.9124,0
82930.07,319.496,253.3133,0
82946.27,319.5407,253.6972,0
82962.82,319.5742,253.8913,0
82979.87,319.5775,254.1089,0
82995.52,319.6216,254.2266,0
83012.46,319.6286,254.3975,0
83029.32,319.6193,254.4648,0
83046.58,319.6479,254.5523,0
83062.85,319.6422,254.4514,0
83079.69,319.5857,254.1383,0
83096.18,319.4751,253.9643,0
83113.72,319.5634,254.107,0
83133.23,319.7144,254.2967,0
83149.72,319.8379,254.4073,0
83164.05,319.9884,254.4537,0
83180.41,320.0273,254.4892,0
83196.81,320.1025,254.5348,0
83213.39,320.1801,254.5257,0
83230.46,320.2231,254.5887,0
83247.37,320.2696,254.6359,0
83264.87,320.2233,254.5432,0
83281.49,320.1827,254.4513,0
83297.95,320.1652,254.4591,0
83315.02,320.1848,254.4882,0
83332.5,320.22,254.6046,0
83348.8,320.3514,254.7149,0
83365.76,320.4979,254.7179,0
83381.3,320.5444,254.5835,0
83398.61,320.5522,254.3908,0
83414.41,320.5162,254.3284,0
83431.7,320.3752,254.3936,0
83450.37,320.2864,254.4663,0
83470.84,320.1653,254.5535,0
83482.92,320.1156,254.5215,0
83499.41,320.1678,254.3314,0
83516.49,320.2336,254.2182,0
83534.48,320.3209,254.3944,0
83549.78,320.4296,254.666,0
83567.65,320.5232,255.0188,0
83587.95,320.5328,255.126,0
83604.76,320.3895,254.8644,0
83620.91,320.2318,254.7859,0
83635.66,320.0967,254.713,0
83650.82,320.0635,254.8521,0
83668.27,320.1267,255.0014,0
83685.07,320.2461,255.1815,0
83705.13,320.3851,255.1517,0
83718.91,320.5476,255.0857,0
83737.99,320.6897,254.9193,0
83751.98,320.9648,254.892,0
83768.07,321.6971,255.0523,0
83785.31,322.76,255.3648,0
83802.01,324.5615,255.9589,0
83820.98,326.7389,256.3003,0
83835.64,329.5651,256.4077,0
83851.73,333.659,256.2397,0
83872.83,336.1079,255.9787,0
83887.27,338.3886,255.5432,0
83919.3,339.8362,255.2263,0
83931.77,340.4091,254.9369,0
83940.87,340.508,254.5594,0
83952.17,339.402,253.7303,0
83968.8,338.0473,253.1476,0
