Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
2405127,322.4731,245.0581,58.19253,50.78099
2405145,322.8893,245.0314,58.22562,50.77792
2405166,323.3334,245.1475,58.26086,50.79121
2405182,323.3077,245.1098,58.25883,50.7869
2405201,323.6218,244.9158,58.28371,50.76468
2405222,323.4492,244.913,58.27004,50.76436
2405243,323.2384,244.973,58.25333,50.77124
2405264,323.0972,244.8315,58.24213,50.75501
2405279,322.6347,244.7401,58.20539,50.74454
2405298,322.5827,244.7663,58.20125,50.74754
2405318,322.3538,244.8096,58.18303,50.7525
2405336,322.0444,245.0394,58.15838,50.77884
2405357,321.974,245.3496,58.15276,50.81434
2405375,322.0253,245.2767,58.15686,50.80601
2405392,322.1854,245.0859,58.16962,50.78417
2405410,322.2169,244.9891,58.17213,50.77308
2405430,322.1414,245.126,58.16612,50.78876
2405449,321.943,245.1162,58.15029,50.78764
2405468,321.5402,245.2279,58.11813,50.80042
2405489,321.2783,245.4087,58.09719,50.8211
2405507,321.1114,245.4788,58.08383,50.82911
2405526,320.9825,245.586,58.07351,50.84136
2405543,320.8834,245.6457,58.06556,50.84819
2405565,320.873,245.7093,58.06473,50.85545
2405581,320.9047,245.5387,58.06727,50.83596
2405601,320.8815,245.4636,58.06541,50.82737
2405622,321.0607,245.4558,58.07977,50.82649
2405640,321.2986,245.6027,58.09882,50.84327
2405661,321.5892,245.6713,58.12205,50.8511
2405679,321.7989,245.6986,58.13879,50.85423
2405696,322.0203,245.7451,58.15646,50.85953
2405715,322.1785,245.8463,58.16907,50.87108
2405734,322.1077,245.8878,58.16343,50.87581
2405753,322.0416,246.0283,58.15816,50.89183
2405774,321.944,246.1247,58.15037,50.90282
2405792,321.8199,246.0169,58.14046,50.89054
2405811,321.7771,245.7545,58.13705,50.86061
2405830,321.6911,245.6273,58.13018,50.84608
2405850,321.6704,245.5072,58.12854,50.83236
2405878,321.6026,245.5394,58.12312,50.83604
2405902,321.6733,245.6086,58.12877,50.84394
2405940,321.7103,245.5388,58.13172,50.83597
2405964,321.6647,245.7042,58.12808,50.85486
2405979,321.651,246.0162,58.12698,50.89046
2405994,321.7974,246.1967,58.13868,50.91102
2406007,321.8781,246.3944,58.14512,50.93353
2406021,321.9442,246.4493,58.15039,50.93977
2406044,321.8957,246.424,58.14652,50.93689
2406063,321.9814,246.4872,58.15336,50.94408
2406080,322.1266,246.372,58.16494,50.93098
2406099,322.0608,246.4377,58.15969,50.93846
2406117,322.1212,246.5594,58.1645,50.9523
2406134,322.2466,246.8123,58.17449,50.98103
2406154,322.3574,247.0089,58.18332,51.00334
2406172,322.3445,247.1875,58.18229,51.02359
2406193,322.3673,247.2511,58.1841,51.0308
2406211,322.3492,247.4689,58.18267,51.05547
2406229,322.3174,247.6012,58.18014,51.07043
2406247,322.3748,247.7163,58.1847,51.08345
2406269,322.2452,247.9107,58.17439,51.10542
2406285,322.179,248.0547,58.16911,51.12168
2406302,322.109,248.2922,58.16353,51.14847
2406321,321.9014,248.6442,58.14697,51.18812
2406343,321.7606,249.3064,58.13574,51.26252
2406361,321.7282,249.9128,58.13315,51.33044
2406379,321.7061,250.5564,58.13138,51.40231
2406399,321.7686,251.5127,58.13638,51.50868
2406417,321.7765,252.2044,58.13701,51.58532
2406436,321.692,252.6863,58.13026,51.63856
2406454,321.6449,252.8756,58.1265,51.65943
2406470,321.6984,253.0794,58.13077,51.68189
2406488,321.8705,253.0737,58.14451,51.68126
2406512,321.9573,253.1228,58.15143,51.68667
2406528,322.0892,253.2666,58.16195,51.7025
2406548,322.1977,253.3506,58.1706,51.71173
2406565,322.1595,253.4183,58.16756,51.71918
2406585,322.2869,253.5421,58.1777,51.73279
2406603,322.3505,253.7587,58.18277,51.75657
2406621,322.3927,254.003,58.18613,51.78337
2406637,322.3325,254.5441,58.18134,51.84263
2406654,322.173,254.9803,58.16863,51.89027
2406676,321.9631,255.6153,58.15189,51.95945
2406696,321.9771,256.3803,58.15301,52.04253
2406715,321.9772,256.7557,58.15302,52.08317
2406736,322.1955,257.0358,58.17043,52.11345
2406752,322.5162,257.1246,58.19596,52.12305
2406770,322.9051,256.948,58.22688,52.10397
2406786,323.2211,256.8806,58.25196,52.09668
2406804,323.4157,257.0139,58.26739,52.11108
2406823,323.528,256.9643,58.27629,52.10573
2406845,323.6413,256.1662,58.28526,52.01931
2406860,323.7332,254.8401,58.29253,51.87497
2406885,323.7903,253.4208,58.29705,51.71946
2406902,323.7033,250.6139,58.29017,51.40873
2406939,323.6486,249.7537,58.28583,51.31264
2406955,323.6168,249.8664,58.28332,51.32525
2406966,323.4978,250.2782,58.2739,51.37127
2406976,323.2231,251.7703,58.25212,51.53725
2406996,323.0502,253.8971,58.2384,51.77177
2407017,323.0136,256.713,58.23549,52.07855
2407037,323.1707,260.2709,58.24797,52.46024
2407053,323.4339,263.4478,58.26883,52.79555
2407071,323.6917,265.8183,58.28925,53.04243
2407088,323.9483,267.5197,58.30954,53.21789
2407107,324.1564,268.5936,58.32599,53.32792
2407127,324.3753,268.6976,58.34327,53.33854
2407147,324.6906,268.39,58.36813,53.3071
2407166,324.9834,268.0952,58.39119,53.27692
2407185,325.406,267.9558,58.42442,53.26264
2407203,325.438,267.9216,58.42693,53.25914
2407221,325.4738,268.1905,58.42974,53.28669
2407239,325.413,268.7862,58.42496,53.34759
2407255,325.4428,269.0226,58.42731,53.37171
2407275,325.4697,269.0409,58.42942,53.37358
2407295,325.5193,269.2409,58.43332,53.39396
2407316,325.5285,269.4067,58.43404,53.41084
2407334,325.6126,269.4533,58.44064,53.41558
2407352,325.654,269.7444,58.44389,53.44519
2407372,325.8027,270.3017,58.45555,53.50174
2407389,325.7768,270.4448,58.45351,53.51624
2407405,325.5196,269.979,58.43334,53.46902
2407424,325.201,269.3822,58.40831,53.40835
2407443,324.9248,268.6882,58.38658,53.33759
2407462,324.5671,268.1404,58.3584,53.28155
2407481,324.0387,267.676,58.31669,53.23394
2407501,323.3709,267.1645,58.26384,53.18138
2407522,322.6282,266.4381,58.20487,53.10652
2407541,321.896,265.5373,58.14655,53.01331
2407559,321.2628,264.1509,58.09595,52.86908
2407576,320.2841,261.647,58.01747,52.60612
2407594,319.2364,259.1582,57.93306,52.34158
2407612,318.3447,257.0227,57.86091,52.11204
2407631,317.3384,254.8351,57.77914,51.87442
2407651,316.3991,252.588,57.70249,51.62771
2407671,315.748,250.4403,57.64915,51.38937
2407689,315.2478,248.8599,57.60808,51.21238
2407711,315.1036,247.1947,57.59622,51.02442
2407730,315.1833,246.0789,57.60277,50.89761
2407747,315.6404,245.4101,57.64032,50.82126
2407761,316.3531,245.3544,57.69872,50.81489
2407779,317.0963,245.4146,57.75942,50.82177
2407798,318.1908,245.694,57.84843,50.8537
2407820,319.3104,246.0233,57.93904,50.89127
2407838,320.1101,246.1403,58.00348,50.9046
2407858,320.9326,245.9222,58.0695,50.87973
2407876,321.5493,245.4542,58.11886,50.82631
2407894,321.948,244.8625,58.15069,50.75857
2407911,322.1584,244.2008,58.16747,50.68259
2407930,322.2549,243.8217,58.17515,50.63895
2407952,322.0281,243.6218,58.15708,50.61591
2407968,321.697,243.7502,58.13065,50.6307
2407987,321.2288,244.2875,58.09322,50.69255
2408009,320.7244,245.2188,58.05282,50.79939
2408024,320.2036,246.0766,58.01099,50.89734
2408044,319.7568,247.0135,57.97503,51.00387
2408062,319.3711,247.9322,57.94394,51.10785
2408081,319.1638,248.21,57.9272,51.1392
2408097,318.9946,248.217,57.91353,51.13999
2408116,318.981,248.3727,57.91243,51.15754
2408137,319.1891,248.7102,57.92924,51.19554
2408156,319.4958,249.2308,57.954,51.25403
2408174,319.8705,250.0049,57.9842,51.34074
2408197,320.3312,250.9165,58.02125,51.44243
2408214,320.6999,251.7617,58.05085,51.5363
2408229,320.9735,252.5728,58.07278,51.62602
2408248,321.245,253.6906,58.09452,51.7491
2408267,321.4399,254.8434,58.11011,51.87533
2408284,321.6044,256.3867,58.12326,52.04322
2408307,321.7555,257.9219,58.13533,52.20898
2408328,321.9554,258.8972,58.15128,52.31364
2408342,322.2446,259.4402,58.17434,52.37171
2408361,322.6232,259.7564,58.20447,52.40545
2408380,323.0022,259.9709,58.23459,52.42831
2408398,323.3723,260.3145,58.26395,52.46488
2408415,323.8378,260.8835,58.3008,52.5253
2408437,324.2859,261.2999,58.33621,52.56941
2408456,324.7293,261.879,58.37119,52.63062
2408472,325.1582,262.5938,58.40495,52.70592
2408493,325.5668,263.787,58.43705,52.83105
2408511,325.9363,265.0947,58.46602,52.96737
2408532,326.2764,266.7259,58.49265,53.13621
2408551,326.6463,268.9829,58.52157,53.36766
2408565,327.0222,271.3581,58.55091,53.60855
2408583,327.4225,274.4425,58.58209,53.9173
2408603,327.8058,277.7654,58.61191,54.2449
2408620,328.1834,280.4512,58.64123,54.50594
2408640,328.4733,282.0168,58.6637,54.65658
2408660,328.5562,282.7874,58.67013,54.73033
2408678,328.7083,283.3105,58.6819,54.78024
2408697,328.8135,283.6659,58.69004,54.81407
2408714,328.8885,284.2806,58.69585,54.87246
2408732,328.9742,284.7754,58.70247,54.91933
2408750,329.0161,285.5222,58.70571,54.98987
2408770,329.0721,286.5276,58.71004,55.08446
2408792,329.3372,287.752,58.73051,55.19904
2408813,329.6464,289.0732,58.75436,55.32195
2408831,330.0505,290.1902,58.78548,55.42527
2408848,330.6131,290.9988,58.82872,55.49973
2408866,331.1958,291.8301,58.87338,55.57598
2408884,331.7469,292.5769,58.91552,55.64423
2408901,332.1132,293.2786,58.94347,55.70814
2408919,332.37,293.9324,58.96304,55.76751
2408939,332.7368,294.2999,58.99095,55.8008
2408959,332.9867,294.3469,59.00993,55.80505
2408980,333.1172,294.3589,59.01984,55.80614
2408995,332.9436,294.448,59.00666,55.8142
2409015,332.8032,294.4374,58.99599,55.81324
2409033,332.5828,294.2667,58.97924,55.79779
2409052,332.4402,294.2406,58.96838,55.79543
2409067,332.4427,294.5671,58.96857,55.82497
2409087,332.3954,294.6392,58.96497,55.83149
2409108,332.5154,294.8306,58.9741,55.84877
2409124,332.6845,295.0551,58.98697,55.86903
2409145,332.8394,295.1395,58.99875,55.87664
2409163,333.0189,294.995,59.01238,55.86361
2409181,333.3305,294.847,59.03603,55.85025
2409200,333.4076,295.1119,59.04188,55.87416
2409217,333.3494,295.4534,59.03746,55.90492
2409235,333.2479,295.6809,59.02976,55.92538
2409252,333.1295,295.7499,59.02077,55.93159
2409274,333.2224,295.7434,59.02783,55.93101
2409292,333.3194,295.4905,59.03519,55.90826
2409312,333.7301,295.4191,59.0663,55.90183
2409332,333.7815,295.5293,59.0702,55.91175
2409352,334.0551,295.6618,59.09089,55.92367
2409369,334.1156,295.976,59.09547,55.9519
2409386,334.0438,295.7755,59.09003,55.93389
2409403,334.0388,295.4974,59.08966,55.90888
2409422,334.3,295.4839,59.10939,55.90767
2409441,334.5469,295.4254,59.12803,55.9024
2409462,334.8086,295.1646,59.14775,55.8789
2409482,334.887,294.8278,59.15366,55.84852
