Time Stamp(ms),Intersection,,Angle,
,x,y,x,y
1981123,308.3084,284.6068,57.02848,54.90337
1981140,308.0717,284.7292,57.00839,54.91496
1981161,307.8155,284.8173,56.98661,54.92329
1981179,307.9417,284.7581,56.99734,54.91769
1981196,308.0211,284.7465,57.00409,54.91659
1981217,308.153,284.7051,57.01529,54.91268
1981236,308.4936,284.7194,57.04419,54.91403
1981254,308.7627,284.7895,57.06699,54.92066
1981276,308.9337,284.8705,57.08147,54.92833
1981298,309.0474,284.8566,57.09108,54.92701
1981320,309.1098,284.9115,57.09636,54.93221
1981333,309.1925,285.0211,57.10334,54.94257
1981350,309.1822,285.1265,57.10247,54.95253
1981371,309.3131,285.2494,57.11354,54.96413
1981389,309.3652,285.2826,57.11794,54.96727
1981408,309.4275,285.2684,57.1232,54.96593
1981429,309.5373,285.1808,57.13246,54.95766
1981449,309.5502,285.1848,57.13355,54.95804
1981468,309.2032,285.2477,57.10425,54.96398
1981488,308.9885,285.2487,57.0861,54.96407
1981508,308.7669,285.3161,57.06734,54.97043
1981525,308.5939,285.4985,57.05269,54.98764
1981542,308.466,285.6238,57.04185,54.99946
1981561,308.2928,285.7737,57.02716,55.01358
1981583,308.1202,285.7906,57.01251,55.01517
1981603,308.0972,285.85,57.01055,55.02076
1981622,308.0929,285.9454,57.01019,55.02974
1981642,308.0271,286.1128,57.0046,55.04549
1981659,308.0737,286.3085,57.00855,55.06388
1981678,308.1934,286.4154,57.01872,55.07393
1981698,308.2592,286.4734,57.02431,55.07937
1981716,308.1673,286.527,57.01651,55.0844
1981736,308.11,286.553,57.01164,55.08684
1981756,308.2259,286.6476,57.02148,55.09571
1981774,308.2908,286.733,57.02699,55.10373
1981793,308.3943,286.7758,57.03576,55.10773
1981812,308.5297,286.8351,57.04725,55.11329
1981833,308.554,286.9342,57.04931,55.12258
1981852,308.6552,287.079,57.05788,55.13614
1981871,308.8482,287.2579,57.07423,55.15288
1981893,309.187,287.412,57.10288,55.16728
1981910,309.6719,287.5725,57.14381,55.18229
1981934,310.0903,287.822,57.17906,55.20557
1981946,310.5314,288.143,57.21614,55.23549
1981968,311.0464,288.5568,57.25935,55.274
1981989,311.6187,288.8573,57.30724,55.30191
1982007,312.0648,289.0884,57.34449,55.32335
1982025,312.7221,289.2706,57.39923,55.34024
1982044,313.867,289.4137,57.4942,55.3535
1982064,315.6174,289.4133,57.63844,55.35346
1982083,318.8757,289.2969,57.90392,55.34268
1982101,324.3368,289.4919,58.34024,55.36073
1982122,331.4259,289.9091,58.89098,55.39931
1982141,338.3384,290.4628,59.41164,55.4504
1982161,345.1186,291.2657,59.90724,55.52423
1982177,351.8396,292.0698,60.38433,55.59791
1982198,358.4237,292.4344,60.83854,55.63123
1982219,364.1836,292.9156,61.22557,55.67511
1982238,370.1262,292.9938,61.61515,55.68223
1982258,375.6376,292.9615,61.96791,55.67929
1982274,379.9806,292.5965,62.24025,55.64602
1982293,384.3546,292.3342,62.50966,55.62208
1982312,388.2765,291.9703,62.74714,55.58881
1982332,391.6882,291.7871,62.95068,55.57204
1982353,394.4682,291.4669,63.11446,55.54269
1982371,397.3916,290.9257,63.28471,55.493
1982389,399.8023,290.6297,63.42362,55.46577
1982409,401.8405,290.3749,63.54001,55.4423
1982426,403.6525,290.3076,63.6427,55.4361
1982447,405.2693,290.4417,63.7337,55.44846
1982467,406.9794,290.4314,63.82933,55.4475
1982490,408.4458,290.6928,63.91081,55.47158
1982508,410.0535,291.1075,63.9996,55.50971
1982526,411.4566,291.6602,64.07664,55.56042
1982545,412.968,292.23,64.15914,55.61256
1982561,414.4052,292.7596,64.23714,55.66089
1982581,415.5217,293.6497,64.29744,55.74187
1982602,416.1398,294.7151,64.3307,55.83834
1982622,416.4971,296.0313,64.34989,55.95687
1982641,416.4391,297.498,64.34678,56.0881
1982659,415.9348,298.7188,64.31967,56.19666
1982677,415.4372,299.9954,64.29288,56.30952
1982696,414.5683,301.5437,64.24596,56.44553
1982715,413.5747,303.2173,64.19212,56.59143
1982738,412.604,304.9294,64.13931,56.73955
1982757,411.5729,306.4417,64.083,56.86941
1982774,410.5206,307.972,64.02529,56.99991
1982794,409.7615,309.3003,63.98352,57.11245
1982809,409.4498,310.8245,63.96632,57.24075
1982828,409.433,312.3682,63.9654,57.36978
1982848,409.4558,313.9122,63.96666,57.49794
1982868,409.3851,315.2036,63.96275,57.60444
1982887,409.4942,316.2434,63.96878,57.68974
1982906,409.7092,317.0821,63.98063,57.75826
1982925,409.9693,317.7049,63.99496,57.80897
1982943,410.1465,318.2698,64.00472,57.85484
1982962,410.323,318.8439,64.01443,57.90134
1982982,410.5205,319.452,64.02529,57.95047
1983003,410.7784,320.0803,64.03945,58.00108
1983023,410.8525,320.8274,64.04352,58.06107
1983041,410.7177,321.6539,64.03612,58.12722
1983060,410.5862,322.6877,64.0289,58.2096
1983077,410.2402,324.161,64.00987,58.32635
1983096,410.0425,325.8257,63.999,58.45736
1983115,409.7513,327.9783,63.98295,58.62531
1983135,409.5465,330.6006,63.97166,58.82776
1983155,409.8038,333.5872,63.98585,59.05548
1983174,410.4474,336.9181,64.02127,59.30595
1983193,411.2074,340.7711,64.06298,59.59114
1983211,411.4863,343.5685,64.07826,59.79522
1983229,412.6848,346.3724,64.14371,59.9973
1983249,414.1441,348.7955,64.22301,60.16996
1983269,415.7032,351.2792,64.30721,60.34507
1983288,416.9734,353.968,64.37543,60.53256
1983308,418.2917,356.5579,64.44589,60.71111
1983327,419.4931,358.6533,64.50979,60.85415
1983348,420.9193,360.9611,64.58525,61.0102
1983366,422.3869,363.2606,64.66247,61.16418
1983383,423.687,365.5464,64.73051,61.31577
1983402,424.2977,367.5698,64.76235,61.44875
1983424,424.5971,369.3596,64.77793,61.56544
1983442,424.7511,370.7792,64.78594,61.65737
1983459,424.5717,371.6713,64.77661,61.71487
1983476,424.1691,372.4397,64.75565,61.76422
1983496,423.8874,373.1136,64.74096,61.80736
1983520,423.6083,373.7358,64.72639,61.8471
1983534,423.2338,373.7686,64.70683,61.84919
1983555,423.0053,374.0047,64.69487,61.86424
1983574,422.7952,374.1586,64.68387,61.87404
1983592,422.568,374.4027,64.67197,61.88957
1983612,422.3058,374.5818,64.65821,61.90096
1983630,422.0842,374.4857,64.64658,61.89485
1983647,421.9201,374.316,64.63795,61.88406
1983666,421.8274,373.8659,64.63308,61.85539
1983688,421.7285,373.5436,64.62788,61.83484
1983707,421.6772,373.0985,64.62518,61.8064
1983725,421.5071,372.7954,64.61623,61.78701
1983743,421.3148,372.4114,64.6061,61.7624
1983762,421.1338,372.0312,64.59656,61.738
1983780,420.7578,371.5145,64.57673,61.70478
1983798,420.4232,371.1506,64.55904,61.68134
1983817,419.9174,370.8309,64.53228,61.66071
1983837,418.8199,370.3862,64.47402,61.63198
1983859,417.5255,369.5309,64.40499,61.57656
1983879,416.5081,368.841,64.35048,61.53172
1983895,416.3708,368.0587,64.34311,61.48072
1983914,416.0039,367.6866,64.32339,61.4564
1983932,414.7622,367.9921,64.25645,61.47636
1983950,414.8774,367.5977,64.26267,61.45058
1983969,414.8593,367.2051,64.2617,61.42487
1983991,415.1644,366.6076,64.27817,61.38566
1984009,415.0759,365.6505,64.27339,61.32265
1984030,415.7704,364.7208,64.31083,61.26119
1984044,416.2712,363.914,64.33776,61.20767
1984062,416.803,363.1383,64.36631,61.15603
1984081,417.43,362.5057,64.39989,61.1138
1984102,418.0838,361.5909,64.43481,61.05252
1984122,418.668,360.0156,64.46593,60.94645
1984141,419.0353,358.1223,64.48547,60.81802
1984159,419.1875,355.8748,64.49356,60.66421
1984177,419.3267,353.7444,64.50095,60.51706
1984197,419.7112,350.9879,64.52135,60.32463
1984216,420.1101,347.9783,64.54248,60.11193
1984232,420.3881,345.063,64.55719,59.90323
1984252,420.6675,342.0204,64.57195,59.68259
1984274,421.3055,339.1595,64.60561,59.47244
1984293,421.8998,336.4372,64.63689,59.27002
1984312,422.3477,333.9112,64.66042,59.08001
1984333,422.6612,331.6021,64.67685,58.90445
1984351,422.7464,328.9644,64.68132,58.70171
1984368,422.3097,325.6847,64.65842,58.44629
1984389,421.3158,322.2364,64.60616,58.17368
1984409,420.2887,318.8111,64.55193,57.89869
1984429,419.424,315.6343,64.50612,57.63982
1984450,418.5447,312.6845,64.45937,57.39611
1984470,417.5716,309.638,64.40746,57.14095
1984485,416.482,305.4493,64.34908,56.7843
1984502,415.4484,300.7697,64.29349,56.37766
1984527,414.1607,295.5154,64.2239,55.9105
1984544,412.5731,290.2972,64.13763,55.43514
1984561,410.8109,285.1683,64.04124,54.95648
1984580,409.1967,280.4168,63.95235,54.50262
1984598,407.4515,275.9706,63.85561,54.0686
1984617,405.4993,271.7537,63.7466,53.6484
1984637,403.9521,267.5034,63.65961,53.21622
1984657,402.8194,263.4113,63.59558,52.79173
1984679,401.9568,259.6886,63.54663,52.39822
1984695,401.0153,256.584,63.493,52.06459
1984715,399.6588,254.2524,63.41539,51.8107
1984732,398.0028,251.9796,63.32006,51.56044
1984753,396.6069,249.5785,63.23921,51.29303
1984773,395.2452,247.4637,63.1599,51.05488
1984791,394.1862,245.4007,63.09793,50.82018
1984811,393.512,243.4938,63.05833,50.60113
1984830,392.9316,241.6657,63.02416,50.3892
1984851,392.6583,240.1478,63.00804,50.21178
1984866,392.4246,238.7121,62.99424,50.04274
1984886,392.402,237.5299,62.99291,49.90265
1984908,392.5956,236.4508,63.00434,49.77406
1984926,392.9456,235.3104,63.02499,49.63742
1984945,393.216,233.6753,63.04092,49.44016
1984964,393.4673,232.2388,63.0557,49.26554
1984982,394.1182,230.6934,63.09394,49.07629
1985002,395.048,229.327,63.14838,48.90776
1985022,395.8326,228.2167,63.19417,48.76997
1985043,396.5137,226.7495,63.2338,48.58672
1985061,397.1304,225.5288,63.26958,48.43324
1985081,397.6567,223.9489,63.30006,48.2332
1985099,397.8439,221.8477,63.31088,47.96473
1985116,397.1349,219.5009,63.26985,47.66153
1985137,395.6526,217.9467,63.18368,47.45879
1985158,393.4115,215.7951,63.05242,47.1755
1985178,392.5598,213.7473,63.00223,46.90303
1985200,392.3555,212.1166,62.99016,46.68406
1985217,391.9034,211.2675,62.96342,46.56935
1985234,391.0541,210.3436,62.91306,46.44395
1985253,390.407,209.6404,62.87458,46.34814
1985271,389.8326,209.0651,62.84033,46.2695
1985295,389.184,208.8404,62.80156,46.23872
1985316,388.4448,208.8556,62.75725,46.2408
1985332,387.8461,209.1384,62.72127,46.27953
1985350,387.4232,209.4123,62.6958,46.31699
1985368,387.108,209.5946,62.67678,46.34189
1985390,386.8274,209.6857,62.65984,46.35432
1985408,386.7034,209.6382,62.65235,46.34784
1985428,386.8884,209.5131,62.66352,46.33075
1985451,387.1734,209.5167,62.68073,46.33125
1985467,387.3773,209.6491,62.69303,46.34933
1985482,387.5138,209.9579,62.70126,46.39145
1985502,387.6541,210.3089,62.70971,46.43924
1985523,387.6851,210.5885,62.71158,46.47725
1985542,387.6917,210.9299,62.71198,46.5236
1985564,387.7203,211.4316,62.7137,46.59156
1985581,387.7904,211.869,62.71791,46.65066
1985599,387.7279,212.6149,62.71416,46.75116
1985618,387.7378,213.4021,62.71475,46.85683
1985638,387.7146,214.1219,62.71336,46.95308
1985659,387.7547,214.7863,62.71577,47.04162
1985680,387.9034,215.5402,62.72472,47.14172
